Geneid	Chr	Start	End	Strand	Length	CRISPR_one	CRISPR_three	CRISPR_two	control_one	control_three	control_two
RPL7L1P10	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302572	.	.	.	.	.	0	0	0	0	0	0
PID1	.	.	.	.	.	117	215	174	82	103	119
RPL17P14	.	.	.	.	.	0	0	0	0	0	0
RN7SKP283	.	.	.	.	.	0	0	1	1	0	0
ENSG00000297905	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296367	.	.	.	.	.	0	0	0	0	0	0
ENSG00000290097	.	.	.	.	.	0	1	1	0	0	0
DNER	.	.	.	.	.	398	922	801	204	190	393
ENSG00000287791	.	.	.	.	.	0	1	0	0	0	0
RNU7-9P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235993	.	.	.	.	.	0	0	0	0	0	0
ENSG00000293647	.	.	.	.	.	0	0	0	0	0	0
TRIP12	.	.	.	.	.	5629	5751	6114	5368	6574	4240
ENSG00000303081	.	.	.	.	.	0	2	0	2	0	3
RNU6-613P	.	.	.	.	.	0	0	0	1	0	0
ENSG00000303102	.	.	.	.	.	4	2	2	1	5	2
FBXO36	.	.	.	.	.	96	76	75	95	125	86
RNU6-964P	.	.	.	.	.	0	0	0	0	0	0
FBXO36-IT1	.	.	.	.	.	0	0	2	0	0	0
ENSG00000302256	.	.	.	.	.	2	0	0	0	0	0
RNU6-1027P	.	.	.	.	.	0	0	0	0	0	0
SLC16A14	.	.	.	.	.	811	284	368	448	504	464
RNY4P19	.	.	.	.	.	3	0	0	1	0	2
ENSG00000225963	.	.	.	.	.	15	11	12	2	3	1
ENSG00000283451	.	.	.	.	.	0	0	0	0	0	0
SP110	.	.	.	.	.	394	691	319	167	240	138
SP140	.	.	.	.	.	9	82	29	18	28	6
SP140L	.	.	.	.	.	351	599	395	345	387	275
ENSG00000297551	.	.	.	.	.	3	0	3	1	0	0
ENSG00000279964	.	.	.	.	.	4	2	0	0	4	2
SP100	.	.	.	.	.	1310	2228	1309	961	1173	870
ENSG00000308860	.	.	.	.	.	1	11	5	2	2	3
RN7SL834P	.	.	.	.	.	2	4	0	0	1	0
HMGB1P3	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235419	.	.	.	.	.	2	11	2	1	5	1
TPM3P8	.	.	.	.	.	2	0	0	0	0	2
ENSG00000283202	.	.	.	.	.	0	0	0	0	0	0
RNU6-451P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000289157	.	.	.	.	.	0	0	0	0	0	0
LINC01907	.	.	.	.	.	0	0	0	2	1	2
ENSG00000297784	.	.	.	.	.	1	3	4	0	0	0
CAB39	.	.	.	.	.	3660	3857	4832	1876	2076	2070
BANF1P3	.	.	.	.	.	2	2	4	1	0	1
RNU6-268P	.	.	.	.	.	0	0	3	0	1	0
ENSG00000270891	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308773	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308786	.	.	.	.	.	0	0	0	0	0	0
ITM2C	.	.	.	.	.	1546	1251	1725	2044	2267	1644
GCSIR	.	.	.	.	.	0	0	0	0	0	0
GPR55	.	.	.	.	.	0	2	0	1	2	0
GPR55-AS1	.	.	.	.	.	0	0	0	0	0	0
COX20P2	.	.	.	.	.	0	0	0	1	0	1
SPATA3-AS1	.	.	.	.	.	2	2	0	0	0	0
SPATA3	.	.	.	.	.	0	0	0	0	0	0
C2orf72	.	.	.	.	.	2	23	2	6	2	4
ENSG00000261829	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298080	.	.	.	.	.	1	1	0	3	0	0
PSMD1	.	.	.	.	.	2448	3072	3134	2930	3314	2719
HTR2B	.	.	.	.	.	10	10	6	4	2	2
RNU1-93P	.	.	.	.	.	0	0	0	0	1	0
ARMC9	.	.	.	.	.	1062	544	1329	2166	1760	1390
RPS28P4	.	.	.	.	.	76	67	123	90	109	158
ENSG00000294346	.	.	.	.	.	1	1	1	7	4	5
MIR4777	.	.	.	.	.	0	0	0	0	0	0
ENSG00000224376	.	.	.	.	.	0	4	7	6	7	4
B3GNT7	.	.	.	.	.	23	8	102	22	93	98
ENSG00000307696	.	.	.	.	.	0	0	0	0	0	0
ENSG00000233538	.	.	.	.	.	3	3	0	0	0	2
ZBTB8OSP2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298773	.	.	.	.	.	0	0	0	0	0	0
HIGD2AP1	.	.	.	.	.	0	0	0	0	0	0
NCL	.	.	.	.	.	3334	4745	4707	3672	5425	3665
SNORD20	.	.	.	.	.	0	0	0	0	0	0
SNORD82	.	.	.	.	.	2	4	2	0	0	0
LINC00471	.	.	.	.	.	14	11	9	10	15	14
ENSG00000297761	.	.	.	.	.	0	0	0	0	0	0
ENSG00000283312	.	.	.	.	.	1	0	2	0	0	0
ENSG00000283491	.	.	.	.	.	0	0	0	0	0	0
RNU2-22P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000297785	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286942	.	.	.	.	.	0	0	0	0	0	0
NMUR1	.	.	.	.	.	0	2	0	0	0	0
ENSG00000301459	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286399	.	.	.	.	.	6	1	4	2	11	7
ENSG00000301477	.	.	.	.	.	0	1	0	0	0	0
RPL21P35	.	.	.	.	.	0	0	0	0	0	0
RPL23AP26	.	.	.	.	.	0	0	0	0	0	0
TEX44	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301504	.	.	.	.	.	2	0	1	6	4	2
ENSG00000307480	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295013	.	.	.	.	.	0	0	1	0	0	0
RN7SL499P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300890	.	.	.	.	.	0	0	1	0	0	0
ENSG00000301004	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304034	.	.	.	.	.	0	1	0	0	0	0
ENSG00000289018	.	.	.	.	.	9	4	2	2	4	0
PTMA	.	.	.	.	.	2259	1890	2122	2665	3337	2944
ENSG00000298362	.	.	.	.	.	2	0	0	0	0	0
MIR1244-1	.	.	.	.	.	0	0	0	0	0	0
PDE6D	.	.	.	.	.	207	255	301	202	202	251
COPS7B	.	.	.	.	.	248	338	318	316	384	333
RPL28P2	.	.	.	.	.	0	2	0	1	1	1
ENSG00000261096	.	.	.	.	.	3	0	5	0	3	2
ENSG00000260622	.	.	.	.	.	0	0	0	0	0	0
MIR1471	.	.	.	.	.	0	0	0	0	0	0
NPPC	.	.	.	.	.	0	1	2	0	0	0
DIS3L2	.	.	.	.	.	246	252	226	198	287	214
ENSG00000227033	.	.	.	.	.	2	0	0	0	0	0
MIR562	.	.	.	.	.	0	0	1	0	0	0
NRBF2P6	.	.	.	.	.	5	2	3	5	2	0
ECEL1P3	.	.	.	.	.	0	0	1	0	0	0
ENSG00000275157	.	.	.	.	.	0	0	0	0	0	0
ECEL1P2	.	.	.	.	.	32	8	18	0	0	6
ALPP	.	.	.	.	.	6	0	0	0	0	0
ALPG	.	.	.	.	.	0	0	0	0	0	0
ENSG00000237087	.	.	.	.	.	0	0	0	0	0	0
ECEL1P1	.	.	.	.	.	0	0	0	0	0	0
DIS3L2P1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306068	.	.	.	.	.	2	0	0	0	0	0
ALPI	.	.	.	.	.	0	0	0	0	0	0
ECEL1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304480	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301941	.	.	.	.	.	0	0	0	0	0	0
PRSS56	.	.	.	.	.	0	0	0	0	0	0
CHRND	.	.	.	.	.	0	0	1	0	0	0
CHRNG	.	.	.	.	.	1	1	0	0	2	0
TIGD1	.	.	.	.	.	94	55	61	53	75	84
MIR5001	.	.	.	.	.	0	0	0	0	0	0
EIF4E2	.	.	.	.	.	471	500	572	870	1055	897
ENSG00000237126	.	.	.	.	.	7	8	5	23	9	3
EFHD1	.	.	.	.	.	26	0	0	31	62	6
RN7SL359P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304167	.	.	.	.	.	0	0	0	0	0	0
GIGYF2	.	.	.	.	.	992	1184	1257	1085	1310	846
EEF1B2P7	.	.	.	.	.	2	2	1	0	2	3
ENSG00000241409	.	.	.	.	.	0	4	2	1	0	0
KCNJ13	.	.	.	.	.	1	9	10	4	3	6
RNU6-107P	.	.	.	.	.	2	2	0	0	0	0
SNORC	.	.	.	.	.	7	26	4	8	10	8
NGEF	.	.	.	.	.	5	23	43	25	30	18
ENSG00000222001	.	.	.	.	.	0	0	0	0	0	0
NEU2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303700	.	.	.	.	.	0	0	0	0	0	0
INPP5D	.	.	.	.	.	0	0	0	0	2	0
ENSG00000303717	.	.	.	.	.	0	0	0	0	0	0
ENSG00000289129	.	.	.	.	.	0	0	1	0	0	2
RN7SL32P	.	.	.	.	.	0	0	0	0	0	0
ATG16L1	.	.	.	.	.	409	468	401	333	336	342
SCARNA5	.	.	.	.	.	84	92	85	131	194	172
SCARNA6	.	.	.	.	.	41	60	49	54	108	117
SAG	.	.	.	.	.	0	0	0	0	0	0
ENSG00000259793	.	.	.	.	.	0	1	0	0	0	0
DGKD	.	.	.	.	.	320	251	491	510	481	362
ENSG00000302812	.	.	.	.	.	0	1	1	0	1	0
USP40	.	.	.	.	.	729	758	768	510	718	648
PPFIA1P1	.	.	.	.	.	2	2	2	0	0	0
ENSG00000296115	.	.	.	.	.	0	0	0	0	0	0
UGT1A12P	.	.	.	.	.	0	0	0	0	0	0
UGT1A11P	.	.	.	.	.	0	0	0	0	0	0
UGT1A8	.	.	.	.	.	0	0	0	0	0	0
UGT1A10	.	.	.	.	.	0	0	14	3	0	183
UGT1A13P	.	.	.	.	.	0	0	0	0	0	0
UGT1A9	.	.	.	.	.	0	0	0	0	0	0
UGT1A7	.	.	.	.	.	0	2	5	6	0	3
UGT1A6	.	.	.	.	.	0	0	0	2	3	3
ENSG00000224814	.	.	.	.	.	0	0	0	0	0	0
UGT1A5	.	.	.	.	.	0	0	0	0	0	0
UGT1A4	.	.	.	.	.	0	0	0	0	0	0
RPL17P11	.	.	.	.	.	0	0	1	0	0	0
UGT1A3	.	.	.	.	.	0	0	0	0	0	0
ENSG00000248114	.	.	.	.	.	0	0	0	0	0	0
DNAJB3	.	.	.	.	.	0	0	0	0	0	0
ENSG00000293136	.	.	.	.	.	0	0	0	0	0	0
UGT1A2P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000248705	.	.	.	.	.	0	0	0	0	0	0
ENSG00000178836	.	.	.	.	.	0	0	0	0	0	0
UGT1A1	.	.	.	.	.	3	0	0	1	0	3
ENSG00000298478	.	.	.	.	.	0	0	0	0	0	0
MROH2A	.	.	.	.	.	2	1	1	2	0	2
HJURP	.	.	.	.	.	828	1137	885	741	765	871
MSL3B	.	.	.	.	.	26	52	51	20	44	45
TRPM8	.	.	.	.	.	6	18	30	107	123	54
ENSG00000237581	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286059	.	.	.	.	.	0	3	2	2	0	4
SPP2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000279218	.	.	.	.	.	0	0	0	0	0	0
ENSG00000226442	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304326	.	.	.	.	.	0	0	0	0	0	0
ENSG00000261298	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299137	.	.	.	.	.	2	2	5	1	2	0
ENSG00000302899	.	.	.	.	.	0	0	0	0	0	0
RPS20P12	.	.	.	.	.	0	0	1	0	0	0
ENSG00000310280	.	.	.	.	.	0	0	0	0	0	0
ENSG00000288040	.	.	.	.	.	0	0	0	0	2	0
ENSG00000296359	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296376	.	.	.	.	.	0	0	0	0	0	0
ENSG00000228162	.	.	.	.	.	0	0	0	0	0	0
LINC01891	.	.	.	.	.	0	0	0	0	0	0
HSPE1P9	.	.	.	.	.	0	0	0	0	0	0
ENSG00000294656	.	.	.	.	.	1	3	5	2	2	0
ARL4C	.	.	.	.	.	640	879	2917	1351	1463	1406
ENSG00000294638	.	.	.	.	.	0	2	0	2	0	0
ENSG00000308639	.	.	.	.	.	0	0	0	0	0	0
ENSG00000293807	.	.	.	.	.	0	0	0	0	0	1
ENSG00000293828	.	.	.	.	.	0	0	0	0	0	0
LINC01173	.	.	.	.	.	1	20	2	4	1	2
ENSG00000278593	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235726	.	.	.	.	.	0	0	0	0	0	0
ENSG00000307407	.	.	.	.	.	0	0	2	5	0	2
SH3BP4	.	.	.	.	.	2590	3003	2995	3968	4728	3132
ENSG00000295672	.	.	.	.	.	2	0	2	0	4	2
ENSG00000302063	.	.	.	.	.	1	2	3	2	3	1
ENSG00000308467	.	.	.	.	.	2	0	0	0	0	0
ENSG00000226542	.	.	.	.	.	0	0	0	0	1	0
CEP19P1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235293	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299301	.	.	.	.	.	0	0	0	0	0	0
ENSG00000309680	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306578	.	.	.	.	.	0	0	0	0	0	0
AGAP1	.	.	.	.	.	803	492	514	557	579	388
AGAP1-IT1	.	.	.	.	.	15	1	2	2	2	0
ENSG00000222007	.	.	.	.	.	3	0	1	0	0	0
TMSB10P1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000294682	.	.	.	.	.	0	1	1	0	0	0
RNU7-127P	.	.	.	.	.	0	0	0	0	0	0
RN7SL204P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296952	.	.	.	.	.	0	1	0	0	0	0
ENSG00000299448	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299466	.	.	.	.	.	0	0	0	0	0	0
GBX2-AS1	.	.	.	.	.	0	0	0	2	0	0
GBX2	.	.	.	.	.	0	0	2	0	0	5
ENSG00000299496	.	.	.	.	.	0	0	0	0	0	0
ASB18	.	.	.	.	.	0	7	0	0	0	0
RNU1-31P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299480	.	.	.	.	.	0	0	0	0	0	0
IQCA1	.	.	.	.	.	0	2	0	0	4	0
ENSG00000270540	.	.	.	.	.	0	0	0	0	0	0
IQCA1-AS1	.	.	.	.	.	0	0	0	0	0	0
RPL3P5	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301621	.	.	.	.	.	0	0	0	0	0	0
ACKR3	.	.	.	.	.	2	0	0	31	12	2
ENSG00000301575	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301616	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301631	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301594	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303146	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300436	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298173	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300399	.	.	.	.	.	0	0	0	1	0	0
ENSG00000232328	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300430	.	.	.	.	.	0	0	0	4	0	8
ENSG00000300463	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298351	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298366	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306140	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304566	.	.	.	.	.	0	0	0	0	0	0
COPS8-DT	.	.	.	.	.	10	14	11	20	32	14
ENSG00000304589	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304616	.	.	.	.	.	2	0	0	0	0	0
RNU6-1051P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000124835	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304637	.	.	.	.	.	0	0	0	1	0	0
COPS8	.	.	.	.	.	1267	1388	1314	1082	1137	1196
ENSG00000224844	.	.	.	.	.	2	0	1	0	0	0
ENSG00000224132	.	.	.	.	.	3	4	4	7	8	1
ENSG00000303771	.	.	.	.	.	137	163	33	22	36	31
ENSG00000303751	.	.	.	.	.	1	0	0	0	0	0
ENSG00000294631	.	.	.	.	.	44	37	33	18	8	13
ENSG00000294650	.	.	.	.	.	8	5	2	1	1	3
COL6A3	.	.	.	.	.	296	311	116	1230	1372	291
ENSG00000222032	.	.	.	.	.	16	12	7	16	11	9
ENSG00000296651	.	.	.	.	.	1	0	2	0	1	0
ENSG00000296670	.	.	.	.	.	0	0	0	0	0	0
MLPH	.	.	.	.	.	1678	2012	2089	1490	1560	1734
ENSG00000289261	.	.	.	.	.	16	12	7	8	12	9
MIR6811	.	.	.	.	.	0	0	0	0	0	0
ENSG00000307245	.	.	.	.	.	10	17	10	5	7	6
PRLH	.	.	.	.	.	1	2	0	0	0	1
RNU6-1140P	.	.	.	.	.	0	0	0	0	0	0
RAB17	.	.	.	.	.	2	2	2	4	1	2
RAB17-DT	.	.	.	.	.	0	1	1	2	0	0
ENSG00000303312	.	.	.	.	.	0	0	0	0	0	0
ENSG00000227107	.	.	.	.	.	0	2	2	0	2	0
LRRFIP1	.	.	.	.	.	1231	1289	1678	1356	1759	1320
ENSG00000299963	.	.	.	.	.	5	2	2	0	0	0
ENSG00000286864	.	.	.	.	.	5	2	2	3	0	2
RBM44	.	.	.	.	.	6	4	5	0	4	13
RAMP1	.	.	.	.	.	283	30	160	89	103	57
SNORD39	.	.	.	.	.	0	2	0	0	0	0
ENSG00000288857	.	.	.	.	.	0	2	2	0	0	1
ENSG00000310227	.	.	.	.	.	0	0	0	0	0	0
UBE2F	.	.	.	.	.	222	194	221	217	185	203
UBE2F-SCLY	.	.	.	.	.	1	1	1	0	2	2
RNU6-1333P	.	.	.	.	.	0	0	0	0	0	0
SCLY	.	.	.	.	.	17	32	23	20	14	16
ESPNL	.	.	.	.	.	0	0	0	0	0	0
KLHL30	.	.	.	.	.	0	3	0	0	0	0
KLHL30-AS1	.	.	.	.	.	0	2	3	4	0	4
ERFE	.	.	.	.	.	6	13	6	0	2	1
ILKAP	.	.	.	.	.	179	265	260	258	286	305
LINC02610	.	.	.	.	.	0	0	0	0	0	0
ENSG00000225057	.	.	.	.	.	0	0	0	0	0	4
HES6	.	.	.	.	.	20	12	6	8	10	14
PER2	.	.	.	.	.	162	104	182	172	224	125
ENSG00000283635	.	.	.	.	.	0	0	1	2	0	0
ENSG00000232306	.	.	.	.	.	0	0	0	0	0	0
TRAF3IP1	.	.	.	.	.	212	264	385	363	406	225
RNU6-234P	.	.	.	.	.	0	0	0	0	0	1
ENSG00000305185	.	.	.	.	.	0	3	0	2	3	0
ENSG00000305200	.	.	.	.	.	0	0	2	0	3	2
ASB1	.	.	.	.	.	467	612	872	576	586	599
ENSG00000229915	.	.	.	.	.	1	2	5	2	0	0
ENSG00000274346	.	.	.	.	.	1	0	0	0	0	0
LINC01107	.	.	.	.	.	1	1	2	0	0	1
LINC01937	.	.	.	.	.	0	0	0	0	0	0
ENSG00000297530	.	.	.	.	.	0	0	0	0	0	0
ENSG00000297809	.	.	.	.	.	0	2	1	0	0	0
ENSG00000310365	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302006	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286160	.	.	.	.	.	0	0	0	0	0	0
ENSG00000224252	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295203	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286748	.	.	.	.	.	0	0	0	0	0	0
ENSG00000226992	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299393	.	.	.	.	.	0	0	0	0	0	0
TWIST2	.	.	.	.	.	173	134	273	191	184	268
LINC01940	.	.	.	.	.	0	0	0	0	0	1
ENSG00000305834	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295059	.	.	.	.	.	0	0	0	0	0	0
HDAC4	.	.	.	.	.	327	217	319	320	310	220
MIR4440	.	.	.	.	.	0	0	0	0	0	0
MIR4441	.	.	.	.	.	1	0	0	0	0	0
ENSG00000286307	.	.	.	.	.	4	1	0	0	2	0
HDAC4-AS2	.	.	.	.	.	0	0	0	0	2	0
MIR4269	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299219	.	.	.	.	.	0	0	0	0	0	0
MIR2467	.	.	.	.	.	0	1	0	0	0	0
ENSG00000305037	.	.	.	.	.	0	0	0	2	0	0
HDAC4-AS1	.	.	.	.	.	6	4	2	0	0	0
ENSG00000303922	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303491	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286525	.	.	.	.	.	0	0	0	0	0	0
ENSG00000288082	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301125	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286188	.	.	.	.	.	0	0	0	0	0	0
LINC02991	.	.	.	.	.	0	0	0	0	0	0
ENSG00000227459	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301978	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300336	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300356	.	.	.	.	.	0	0	0	0	0	0
ENSG00000259889	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304918	.	.	.	.	.	0	0	0	0	0	0
ENSG00000220256	.	.	.	.	.	0	2	0	0	0	0
ENSG00000302293	.	.	.	.	.	0	0	0	0	0	0
NDUFA10	.	.	.	.	.	661	684	685	741	898	748
ENSG00000299761	.	.	.	.	.	1	0	0	0	0	0
MIR4786	.	.	.	.	.	0	1	0	0	0	0
OR6B2	.	.	.	.	.	0	0	0	0	0	0
OR6B3	.	.	.	.	.	0	0	0	0	0	0
OR9S24P	.	.	.	.	.	0	0	0	0	0	0
OR5S1P	.	.	.	.	.	0	0	0	0	0	0
COPS9	.	.	.	.	.	268	207	250	294	273	353
OTOS	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286325	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286183	.	.	.	.	.	0	0	0	0	0	0
ENSG00000227479	.	.	.	.	.	0	2	0	0	0	0
ENSG00000308246	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301884	.	.	.	.	.	2	3	0	5	0	3
ENSG00000298807	.	.	.	.	.	0	0	0	0	0	0
GPC1	.	.	.	.	.	326	465	639	2206	1359	1402
GPC1-AS1	.	.	.	.	.	0	0	1	2	0	8
MIR149	.	.	.	.	.	0	0	0	0	1	0
ENSG00000300245	.	.	.	.	.	1	0	0	0	0	0
ANKMY1	.	.	.	.	.	94	67	60	47	82	57
ENSG00000287049	.	.	.	.	.	2	0	0	0	0	0
DUSP28	.	.	.	.	.	37	39	49	37	37	36
RNPEPL1	.	.	.	.	.	393	370	524	544	580	449
CAPN10-DT	.	.	.	.	.	28	21	15	20	26	27
CAPN10	.	.	.	.	.	91	127	95	99	103	92
GPR35	.	.	.	.	.	4	6	1	2	4	4
ENSG00000310104	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306284	.	.	.	.	.	0	0	0	0	0	0
ENSG00000276949	.	.	.	.	.	0	0	0	0	0	0
ENSG00000219159	.	.	.	.	.	0	0	0	0	0	0
AQP12B	.	.	.	.	.	0	0	0	0	0	0
AQP12A	.	.	.	.	.	0	0	0	0	0	0
ENSG00000274977	.	.	.	.	.	0	0	0	0	0	0
KIF1A	.	.	.	.	.	8	10	2	0	0	0
ENSG00000297735	.	.	.	.	.	0	0	0	0	0	0
AGXT	.	.	.	.	.	0	0	0	0	0	0
MAB21L4	.	.	.	.	.	0	0	0	0	0	0
CROCC2	.	.	.	.	.	0	0	0	0	0	0
UICLM	.	.	.	.	.	0	0	0	0	0	0
TANAR	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306025	.	.	.	.	.	0	0	0	0	0	1
ENSG00000306047	.	.	.	.	.	0	0	0	0	0	0
SNED1	.	.	.	.	.	245	115	291	588	222	603
ENSG00000229996	.	.	.	.	.	0	0	0	0	0	0
SNED1-AS1	.	.	.	.	.	1	2	3	3	1	0
MTERF4	.	.	.	.	.	219	262	168	223	258	202
ENSG00000289253	.	.	.	.	.	0	0	2	0	0	0
PASK	.	.	.	.	.	141	182	145	121	111	115
ENSG00000235861	.	.	.	.	.	0	0	0	0	0	0
PPP1R7	.	.	.	.	.	684	874	913	752	845	629
ANO7	.	.	.	.	.	14	20	41	8	16	9
HDLBP	.	.	.	.	.	8885	8971	12394	12039	14140	12297
SEPTIN2	.	.	.	.	.	4955	4806	5484	6506	6508	6819
ENSG00000286588	.	.	.	.	.	0	1	1	0	2	3
ENSG00000223374	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300208	.	.	.	.	.	0	0	0	0	0	0
FARP2	.	.	.	.	.	400	489	471	454	494	484
ENSG00000288080	.	.	.	.	.	0	1	0	0	0	0
MIR3133	.	.	.	.	.	0	0	0	1	0	0
KCTD5P1	.	.	.	.	.	0	0	2	0	1	0
STK25	.	.	.	.	.	519	587	749	640	652	701
ENSG00000289555	.	.	.	.	.	0	1	3	0	1	1
BOK-AS1	.	.	.	.	.	3	1	0	1	4	0
ENSG00000298909	.	.	.	.	.	0	3	0	0	0	0
BOK	.	.	.	.	.	139	150	140	118	103	92
ENSG00000273113	.	.	.	.	.	1	4	0	2	2	1
THAP4	.	.	.	.	.	327	401	439	391	416	297
RNA5SP122	.	.	.	.	.	0	0	0	0	0	0
ATG4B	.	.	.	.	.	438	478	443	399	415	393
DTYMK	.	.	.	.	.	474	481	391	456	437	552
ING5	.	.	.	.	.	173	211	259	205	260	176
ENSG00000235351	.	.	.	.	.	0	0	0	0	0	0
D2HGDH	.	.	.	.	.	52	40	58	52	68	70
ENSG00000215692	.	.	.	.	.	0	0	0	0	0	0
ENSG00000234793	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306637	.	.	.	.	.	1	3	6	0	4	7
ENSG00000300233	.	.	.	.	.	0	0	0	0	0	0
GAL3ST2	.	.	.	.	.	2	1	1	0	0	1
GAL3ST2-AS1	.	.	.	.	.	0	0	1	0	0	0
ENSG00000224272	.	.	.	.	.	0	0	0	1	0	0
NEU4	.	.	.	.	.	0	0	0	0	0	0
ENSG00000297165	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235151	.	.	.	.	.	0	0	0	0	0	0
PDCD1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299450	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300875	.	.	.	.	.	0	0	0	0	0	0
RTP5	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303783	.	.	.	.	.	0	0	1	0	0	0
LINC01237	.	.	.	.	.	0	1	0	0	0	2
FAM240C	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303802	.	.	.	.	.	0	0	0	0	0	0
ENSG00000226423	.	.	.	.	.	0	0	0	0	0	0
ENSG00000280119	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300410	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300317	.	.	.	.	.	0	0	0	0	0	0
ENSG00000287971	.	.	.	.	.	0	0	0	0	0	0
LINC01880	.	.	.	.	.	0	0	0	0	0	0
ENSG00000289556	.	.	.	.	.	1	0	0	0	0	0
ENSG00000291147	.	.	.	.	.	27	30	28	37	32	17
LINC03100	.	.	.	.	.	1	0	0	0	1	0
LINC01881	.	.	.	.	.	0	0	0	0	0	0
CICP10	.	.	.	.	.	0	0	0	0	0	0
SEPTIN14P2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303934	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303919	.	.	.	.	.	0	1	0	0	0	0
RPL23AP88	.	.	.	.	.	0	0	0	0	0	0
LINC01986	.	.	.	.	.	0	0	0	0	0	0
ENSG00000224918	.	.	.	.	.	0	0	0	0	0	0
CHL1-AS2	.	.	.	.	.	2	0	0	0	0	0
